counts,segment
51,PA
117,NP
139,HA
95,NS
125,PB1
403,PB2
137,NA
143,M
40,PA
125,NP
151,HA
75,NS
116,PB1
361,PB2
151,NA
179,M
39,PA
116,NP
111,HA
93,NS
131,PB1
351,PB2
153,NA
175,M
40,PA
127,NP
149,HA
99,NS
110,PB1
373,PB2
143,NA
169,M
47,PA
106,NP
126,HA
87,NS
119,PB1
361,PB2
133,NA
155,M
40,PA
114,NP
150,HA
88,NS
123,PB1
373,PB2
152,NA
144,M
42,PA
122,NP
131,HA
82,NS
113,PB1
345,PB2
153,NA
153,M
46,PA
117,NP
134,HA
108,NS
123,PB1
374,PB2
150,NA
155,M
39,PA
119,NP
168,HA
78,NS
125,PB1
365,PB2
133,NA
148,M
43,PA
139,NP
146,HA
77,NS
126,PB1
338,PB2
152,NA
130,M
32,PA
138,NP
144,HA
95,NS
123,PB1
400,PB2
153,NA
150,M
39,PA
119,NP
152,HA
98,NS
135,PB1
360,PB2
156,NA
158,M
38,PA
102,NP
153,HA
94,NS
142,PB1
398,PB2
134,NA
131,M
46,PA
113,NP
137,HA
105,NS
139,PB1
373,PB2
167,NA
173,M
50,PA
133,NP
137,HA
101,NS
138,PB1
332,PB2
145,NA
144,M
39,PA
108,NP
169,HA
90,NS
130,PB1
354,PB2
150,NA
174,M
47,PA
112,NP
141,HA
107,NS
145,PB1
376,PB2
134,NA
153,M
54,PA
103,NP
130,HA
85,NS
131,PB1
352,PB2
165,NA
174,M
47,PA
112,NP
139,HA
88,NS
104,PB1
366,PB2
143,NA
140,M
29,PA
135,NP
169,HA
69,NS
156,PB1
377,PB2
148,NA
147,M
56,PA
152,NP
145,HA
84,NS
118,PB1
380,PB2
158,NA
150,M
36,PA
130,NP
128,HA
99,NS
136,PB1
377,PB2
152,NA
139,M
50,PA
125,NP
151,HA
110,NS
118,PB1
373,PB2
141,NA
143,M
40,PA
138,NP
167,HA
99,NS
125,PB1
341,PB2
136,NA
142,M
47,PA
109,NP
127,HA
76,NS
120,PB1
349,PB2
142,NA
150,M
50,PA
131,NP
151,HA
96,NS
127,PB1
342,PB2
127,NA
158,M
40,PA
135,NP
122,HA
88,NS
116,PB1
378,PB2
159,NA
143,M
55,PA
129,NP
144,HA
98,NS
129,PB1
366,PB2
131,NA
142,M
42,PA
107,NP
153,HA
100,NS
133,PB1
369,PB2
142,NA
161,M
43,PA
128,NP
142,HA
96,NS
118,PB1
381,PB2
149,NA
166,M
48,PA
105,NP
135,HA
100,NS
130,PB1
390,PB2
149,NA
165,M
43,PA
131,NP
139,HA
99,NS
126,PB1
351,PB2
149,NA
189,M
47,PA
108,NP
132,HA
85,NS
114,PB1
340,PB2
155,NA
177,M
42,PA
108,NP
162,HA
99,NS
117,PB1
368,PB2
142,NA
150,M
41,PA
97,NP
132,HA
103,NS
133,PB1
370,PB2
172,NA
155,M
39,PA
122,NP
134,HA
105,NS
120,PB1
363,PB2
128,NA
153,M
52,PA
109,NP
152,HA
106,NS
130,PB1
391,PB2
146,NA
163,M
42,PA
117,NP
149,HA
87,NS
121,PB1
368,PB2
174,NA
153,M
40,PA
114,NP
172,HA
32,NS
43,PB1
160,PB2
43,NA
55,M
15,PA
32,NP
53,HA
