counts,segment
38,HA
18,NS
16,PB1
116,PB2
24,NA
28,M
10,PA
23,NP
49,HA
32,NS
19,PB1
96,PB2
11,NA
39,M
9,PA
28,NP
36,HA
43,NS
14,PB1
110,PB2
24,NA
30,M
18,PA
22,NP
46,HA
43,NS
11,PB1
102,PB2
29,NA
32,M
7,PA
36,NP
30,HA
47,NS
10,PB1
98,PB2
32,NA
40,M
16,PA
31,NP
42,HA
35,NS
21,PB1
95,PB2
22,NA
32,M
12,PA
30,NP
36,HA
39,NS
17,PB1
95,PB2
18,NA
47,M
9,PA
24,NP
40,HA
32,NS
18,PB1
111,PB2
29,NA
34,M
10,PA
30,NP
36,HA
36,NS
16,PB1
120,PB2
34,NA
41,M
13,PA
25,NP
41,HA
22,NS
22,PB1
102,PB2
23,NA
55,M
16,PA
28,NP
45,HA
32,NS
17,PB1
104,PB2
14,NA
37,M
15,PA
32,NP
45,HA
36,NS
23,PB1
95,PB2
30,NA
37,M
15,PA
30,NP
46,HA
43,NS
17,PB1
124,PB2
29,NA
40,M
19,PA
41,NP
45,HA
54,NS
20,PB1
100,PB2
24,NA
42,M
10,PA
20,NP
29,HA
26,NS
19,PB1
128,PB2
21,NA
55,M
22,PA
25,NP
44,HA
42,NS
15,PB1
119,PB2
21,NA
49,M
15,PA
24,NP
39,HA
33,NS
16,PB1
115,PB2
26,NA
48,M
16,PA
18,NP
33,HA
35,NS
14,PB1
111,PB2
22,NA
44,M
9,PA
23,NP
30,HA
30,NS
23,PB1
101,PB2
26,NA
49,M
12,PA
27,NP
52,HA
30,NS
21,PB1
115,PB2
15,NA
39,M
9,PA
25,NP
46,HA
30,NS
15,PB1
111,PB2
14,NA
32,M
15,PA
44,NP
41,HA
36,NS
20,PB1
96,PB2
13,NA
30,M
12,PA
32,NP
42,HA
32,NS
17,PB1
105,PB2
20,NA
43,M
11,PA
32,NP
42,HA
30,NS
15,PB1
104,PB2
21,NA
45,M
7,PA
34,NP
44,HA
32,NS
16,PB1
99,PB2
24,NA
40,M
13,PA
32,NP
52,HA
33,NS
17,PB1
132,PB2
28,NA
32,M
12,PA
28,NP
49,HA
33,NS
16,PB1
95,PB2
24,NA
51,M
10,PA
20,NP
39,HA
30,NS
20,PB1
72,PB2
23,NA
26,M
7,PA
18,NP
25,HA
